RowNumber,CreditScore,1Ger2Fr3Sp,Male1_Female0,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,1Dia2Gold3Silver,Points Earned
1,619,2,0,42,2,0,1,1,1,101348.88,1,1,2,1,464
2,608,3,0,41,1,83807.86,1,0,1,112542.58,0,1,3,1,456
3,502,2,0,42,8,159660.8,3,1,0,113931.57,1,1,3,1,377
4,699,2,0,39,1,0,2,0,0,93826.63,0,0,5,3,350
5,850,3,0,43,2,125510.82,1,1,1,79084.1,0,0,5,3,425
6,645,3,1,44,8,113755.78,2,1,0,149756.71,1,1,5,1,484
7,822,2,1,50,7,0,2,1,1,10062.8,0,0,2,4,206
8,376,1,0,29,4,115046.74,4,1,0,119346.88,1,1,2,1,282
9,501,2,1,44,4,142051.07,2,0,1,74940.5,0,0,3,3,251
10,684,2,1,27,2,134603.88,1,1,1,71725.73,0,0,3,3,342
11,528,2,1,31,6,102016.72,2,0,0,80181.12,0,0,3,3,264
12,497,3,1,24,3,0,2,1,0,76390.01,0,0,3,3,249
13,476,2,0,34,10,0,2,1,0,26260.98,0,0,3,4,119
14,549,2,0,25,5,0,2,0,0,190857.79,0,0,3,2,549
15,635,3,0,35,7,0,2,1,1,65951.65,0,0,2,3,318
16,616,1,1,45,3,143129.41,2,0,1,64327.26,0,0,5,3,308
17,653,1,1,58,1,132602.88,1,1,0,5097.67,1,0,2,4,163
18,549,3,0,24,9,0,2,1,1,14406.41,0,0,3,4,544
19,587,3,1,45,6,0,1,0,0,158684.81,0,0,3,2,732
20,726,2,0,24,6,0,2,1,1,54724.03,0,0,4,3,477
21,732,2,1,41,8,0,2,1,1,170886.17,0,0,3,2,568
22,636,3,0,32,8,0,2,1,0,138555.46,0,0,2,1,336
23,510,3,0,38,4,0,1,1,0,118913.53,1,1,2,1,887
24,669,2,1,46,3,0,2,0,1,8487.75,0,0,2,4,665
25,846,2,0,38,5,0,1,1,1,187616.16,0,0,3,2,225
26,577,2,1,25,3,0,2,0,1,124508.29,0,0,3,2,659
27,756,1,1,36,2,136815.64,1,1,1,170041.95,0,0,5,1,236
28,571,2,1,44,9,0,2,0,0,38433.35,0,0,4,2,448
29,574,1,0,43,3,141349.43,1,1,1,100187.43,0,0,5,1,499
30,411,2,1,29,0,59697.17,2,1,1,53483.21,0,0,2,3,343
31,591,3,0,39,3,0,3,1,0,140469.38,1,1,3,1,298
32,533,2,1,36,7,85311.7,1,0,1,156731.91,0,0,5,4,628
33,553,1,1,41,9,110112.54,2,0,0,81898.81,0,0,3,3,611
34,520,3,0,42,6,0,2,1,1,34410.55,0,0,2,4,922
35,722,3,0,29,9,0,2,1,1,142033.07,0,0,5,2,276
36,475,2,0,45,0,134264.04,1,1,0,27822.99,1,1,1,1,877
37,490,3,1,31,3,145260.23,1,0,1,114066.77,0,0,4,4,471
38,804,3,1,33,7,76548.6,1,0,1,98453.45,0,0,2,3,994
39,850,2,1,36,7,0,1,1,1,40812.9,0,0,3,3,944
40,582,1,1,41,6,70349.48,2,0,1,178074.04,0,0,5,3,419
41,472,3,1,40,4,0,1,1,0,70154.22,0,0,4,1,545
42,465,2,0,51,8,122522.32,1,0,0,181297.65,1,1,5,4,828
43,556,2,0,61,2,117419.35,1,1,1,94153.83,0,0,3,2,789
44,834,2,0,49,2,131394.56,1,0,0,194365.76,1,1,2,3,567
45,660,3,0,61,5,155931.11,1,1,1,158338.39,0,0,1,2,884
46,776,1,0,32,4,109421.13,2,1,1,126517.46,0,0,1,4,296
47,829,1,0,27,9,112045.67,1,1,1,119708.21,1,1,3,1,779
48,637,1,0,39,9,137843.8,1,1,1,117622.8,1,1,1,4,730
49,550,1,1,38,2,103391.38,1,0,1,90878.13,0,0,3,1,960
50,776,1,0,37,2,103769.22,2,1,0,194099.12,0,0,1,4,268
51,698,1,1,44,10,116363.37,2,1,0,198059.16,0,0,4,4,829
52,585,1,1,36,5,146050.97,2,0,0,86424.57,0,0,3,4,665
53,788,2,0,33,5,0,2,0,0,116978.19,0,0,3,3,982
54,655,1,1,41,8,125561.97,1,0,0,164040.94,1,1,3,4,343
55,601,1,1,42,1,98495.72,1,1,0,40014.76,1,1,2,1,225
56,619,2,1,43,1,125211.92,1,1,1,113410.49,0,0,5,4,657
57,656,2,1,45,5,127864.4,1,1,0,87107.57,0,0,2,2,221
58,725,1,1,19,0,75888.2,1,0,0,45613.75,0,0,2,2,406
59,511,3,0,66,4,0,1,1,0,1643.11,1,1,5,4,549
60,614,2,1,51,4,40685.92,1,1,1,46775.28,0,0,4,2,954
61,742,1,1,35,5,136857,1,0,0,84509.57,0,0,4,3,823
